В приложении 10 к Конвенции о международной ГА изложены,Рекомендуемая практика авиационной электросвязи,Стандарты авиационной электросвязи
Какие плакаты из перечисленных относятся к указательным?,«Заземлено»
Для каких целей предназначены электроизмерительные клещи?,"Клещи предназначены для измерения тока в электрических цепях напряжением до 10 кВ, а также тока напряжения и мощности в электроустановках до 1 кВ без нарушения целостности цепей;"
Кто определяет распределение средств защиты между объектами организации?,"технический руководитель организации или работник, ответственный за электрохозяйство"
На основании чего инвентарные средства защиты распределяются между электроустановками?,"на основании перечня, утвержденного техническим руководителем организации или работником, ответственным за электрохозяйство"
Каким должно быть время непосредственного контакта указателя напряжения с контролируемыми токоведущими частями при проверке отсутствия напряжения в электроустановках напряжением до 1000 В?,не менее 5 сек
Какая периодичность испытаний установлена для диэлектрических резиновых перчаток?,1 раз в 6 месяцев;
Что обязан выполнять персонал организации перед каждым применением средств защиты?,выполнить все перечисленное
Какие минимальные размеры настила установлены для подставок изолирующих?,Не менее 500 x 500 мм. Зазоры между планками должны составлять 10 - 30 мм. Планки должны соединяться без применения металлических крепежных деталей. Настил должен быть окрашен со всех сторон. Допускается изготавливать настил из синтетических материалов;
"Что должен выполнить персонал, обслуживающий электроустановки, при обнаружении непригодности средства защиты?","средство защиты должно быть изъято, об изъятии непригодных средств защиты должна быть сделана запись в журнале учета и содержания средств защиты или в оперативной документации"
В каких случаях средства защиты должны подвергаться внеочередным испытаниям?,"после падения, ремонта, замены каких-либо деталей",при наличии признаков неисправности
Что необходимо сделать при обнаружении непригодности средств защиты?,"средство защиты должно быть изъято, об изъятии непригодных средств защиты должна быть сделана запись в журнале учета и содержания средств защиты или в оперативной документации"
Какие изолирующие электрозащитные средства в электроустановках напряжением выше 1000 В относятся к основным?,"специальные средства защиты, устройства и приспособления изолирующие для работ под напряжением в электроустановках напряжением 110 кВ и выше (кроме штанг для переноса и выравнивания потенциала).",указатели напряжения;,изолирующие клещи;,"устройства и приспособления для обеспечения безопасности работ при измерениях и испытаниях в электроустановках (указатели напряжения для проверки совпадения фаз, клещи электроизмерительные, устройства для прокола кабеля и т.п.);",изолирующие штанги всех видов;
В каких электроустановках диэлектрические перчатки применяются в качестве дополнительного изолирующего электрозащитного средства?,в ЭУ свыше 1000 В
Для каких электроустановок предназначены однополюсные указатели напряжения до 1000 В?,для электроустановок переменного тока
В каких электроустановках применяют диэлектрические галоши?,в ЭУ до 1000 В
К какому виду средств защиты относятся запрещающие плакаты безопасности?,к электрозащитным средствам
Какое минимальное сечение (кв.мм) проводов переносных заземлений установлено в электроустановках напряжением до 1000 В?,не менее 16 кв. мм
Какие изолирующие электрозащитные средства в электроустановках напряжением до 1000 В относятся к основным?,изолирующие клещи;,ручной изолирующий инструмент,указатели напряжения;,изолирующие штанги всех видов;,диэлектрические перчатки;,электроизмерительные клещи;
В каких электроустановках применяются диэлектрические ковры?,в закрытых электроустановках (кроме сырых помещений),в открытых электроустановках в сухую погоду
Какие требования предъявляются к нанесению штампа на выдержавшие испытания средства защиты?,должны быть выполнены все перечисленные требования
Допускается ли использовать средства защиты с истекшим сроком годности?,не допускается
В каких электроустановках можно использовать контрольные лампы в качестве указателей напряжения?,использование контрольных ламп не допускается
В каких электроустановках при пользовании указателем напряжения необходимо надевать диэлектрические перчатки?,выше 1000 В
К какому виду средств защиты относится устройство для прокола кабеля?,к электрозащитным
"К какому виду плакатов безопасности относится плакат с надписью ""Заземлено""?",к указательным
"Разрешается или нет использование в закрытых распределительных устройствах фильтрующих противогазов для защиты от окиси углерода, образующейся в результате горения электроизоляционных материалов?","Фильтрующими противогазами разрешается пользоваться только с гопкалитовым патроном, защищающим от окиси углерода, при температуре не ниже 6 °C;"
"Какие плакаты укрепляются на щитах, используемых в качестве временных ограждений?","На щитах должны быть жестко укреплены предупреждающие плакаты ""СТОЙ! НАПРЯЖЕНИЕ"" или нанесены соответствующие надписи;"
Для чего предназначено устройство для прокола кабеля?,Устройства для прокола кабеля предназначены для индикации отсутствия напряжения на ремонтируемом кабеле перед его разрезкой путем прокола кабеля по диаметру и обеспечения надежного электрического соединения его жил с землей.
Какая маркировка наносится на изолирующие канаты?,На канате или на бирке должна быть видимой надпись «Только для работ под напряжением»;
"К какому виду плакатов безопасности относится плакат с надписью ""Осторожно! Электрическое напряжение""?",к предупреждающим
Обязательно или нет применение диэлектрических перчаток при использовании однополюсными указателями напряжения до 1000В?,Применение диэлектрических перчаток в данном случае не допускается;
Какая минимальная длина изолирующих ручек (до ограничительного упора) установлена для изолирующего инструмента (монтерских ножей)?,У монтерских ножей минимальная длина изолирующих ручек должна составлять 100 мм;
Какие изолирующие электрозащитные средства в электроустановках напряжением до 1000 В относятся к дополнительным?,диэлектрические ковры и изолирующие подставки;,диэлектрические галоши;,"изолирующие колпаки, покрытия и накладки;","лестницы приставные, стремянки изолирующие стеклопластиковые."
Каким образом следует проверять перчатки диэлектрические на отсутствие прокола?,Путем скручивания в сторону пальцев;
Какие требования предъявляются к внешнему виду диэлектрических ковров?,ковры должны иметь рифленую лицевую поверхность и быть одноцветными
Какие плакаты из перечисленных относятся к предупреждающим?,«Стой! Напряжение!»,«Опасное электрическое поле! Без средств защиты проход запрещен!»
"Каким образом работник при непосредственном использовании может определить, что электрозащитные средства прошли эксплуатационные испытания и пригодны для применения?",по штампу на средстве защиты
Какая периодичность установлена для осмотра средств защиты с записью результатов осмотра в журнал учета и содержания средства защиты?,"1 раз в 6 месяцев, для переносных заземлений 1 раз в 3 месяца"
Чем диэлектрическая обувь должна отличаться от остальной резиновой обуви?,Диэлектрическая обувь должна отличаться по цвету от остальной резиновой обуви;
Для чего предназначены защитные каски?,"от поражения электрическим током при случайном касании токоведущих частей, находящихся под напряжением до 1000","для защиты головы работающего от механических повреждений, от воды и агрессивных жидкостей"
Допускается или нет применение постоянных плакатов и знаков безопасности из металла в электроустановках?,Применение постоянных плакатов и знаков из металла допускается только вдали от токоведущих частей;
Какие электрозащитные средства могут применяться в электроустановках в сырую погоду?,"только средства защиты специальной конструкции, предназначенные для работы в таких условиях"
К какому виду средств защиты относятся пояса предохранительные?,к средствам индивидуальной защиты
Какие требования предъявляются к хранению изолирующих штанг и клещей?,"следует хранить в условиях, исключающих их прогиб и соприкосновение со стенами"
В каких электроустановках применяются указатели напряжения для проверки совпадения фаз?,в электроустановках от 6 до 110 кВ
Какой из перечисленных вариантов содержит правильный перечень дополнительных изолирующих электрозащитных средств для электроустановок напряжением выше 1000 В?,"диэлектрические перчатки и боты,  диэлектрические ковры и изолирующие подставки, изолирующие колпаки и накладки, штанги для переноса и выравнивания потенциала, лестницы приставные, стремянки изолирующие стеклопластиковые."
Каким образом перед применением диэлектрические перчатки проверяются на наличие проколов?,путем скручивания в сторону пальцев
"Какие размеры определены для щитов, используемых в качестве временных ограждений?","Высота щита должна быть не менее 1,7 м, а расстояние от нижней кромки до пола - не более 100 мм;"
Какое значение напряжения индикации должно быть для указателей напряжения до 1000В?,Напряжение индикации указателей должно составлять не более 50 В;
Какие изолирующие электрозащитные средства в электроустановках напряжением выше 1000 В относятся к дополнительным?,"лестницы приставные, стремянки изолирующие стеклопластиковые",штанги для переноса и выравнивания потенциала,диэлектрические ковры и изолирующие подставки,диэлектрические перчатки и боты,изолирующие колпаки и накладки
В каком случае переносные заземления должны быть изъяты из употребления?,"При обнаружении механических дефектов контактных соединений, обрыве более 5% проводников, их расплавлении"
Что из перечисленного не относится к дополнительным изолирующим электрозащитным средствам для электроустановок напряжением до 1000 В?,электроизмерительные клещи;
В каких документах отражаются результаты испытаний средств защиты?,"результаты испытаний оформляются в специальных журналах, на средства защиты, принадлежащие сторонним организациям, оформляются протоколы испытаний"
"Какие виды временных ограждений применяются для предотвращения случайного прикосновения к токоведущим частям, находящимся под напряжением?",Щиты (ширмы)
Что нужно предпринять при повреждении нижнего слоя покрытия изолирующего инструмента с многослойной изоляцией?,инструмент подлежит изъятию
Какие требования предъявляются к страховочному канату?,"Стальные канаты должны соответствовать государственному стандарту. Хлопчатобумажный канат должен быть диаметром не менее 15 мм, канат из капронового фала - не менее 10 мм, а длина их - не более 10 Разрывная статическая нагрузка стального каната должна соответствовать указанной в государственном стандарте, а хлопчатобумажного каната и каната из капронового фала - не менее 7000","Стальные канаты должны соответствовать государственному стандарту. Хлопчатобумажный канат должен быть диаметром не менее 15 мм, канат из капронового фала - не менее 10 мм, а длина их - не более 10 Разрывная статическая нагрузка стального каната должна соответствовать указанной в государственном стандарте, а хлопчатобумажного каната и каната из капронового фала - не менее 10000"
Какая длина установлена для перчаток диэлектрических?,Не менее 350 мм;
Кто проверяет наличие и состояние средств защиты в электроустановках организации?,работник ответственный за состояние средств защиты
Необходимо ли применять диэлектрические перчатки при проверке отсутствия напряжения в электроустановках напряжением выше 1000В?,"да, необходимо"
В каких электроустановках применяют диэлектрические боты?,в ЭУ до и свыше1000 В
Какая длительность приложения испытательного напряжения установлена для изолирующих средств защиты до 1000В?,"Длительность приложения полного испытательного напряжения, как правило, составляет 1 мин. для изолирующих средств защиты до 1000 В и для изоляции из эластичных материалов и фарфора и 5 мин. - для изоляции из слоистых диэлектриков."
Каким образом осуществляется маркировка изолированного инструмента о проведенных испытаниях?,разрешается маркировать доступными средствами
Какие виды дополнительных средств защиты можно применять для защиты человека от действия электрического тока без использования основных средств защиты?,при необходимости защитить работающего от напряжения шага диэлектрические боты или галоши могут использоваться без основных средств защиты
Какой из перечисленных вариантов содержит правильный перечень основных изолирующих электрозащитных средств для электроустановок напряжением выше 1000 В?,"изолирующие штанги всех видов, изолирующие клещи, указатели напряжения, устройства и приспособления для обеспечения безопасности работ при измерениях и испытаниях в электроустановках (указатели напряжения для проверки совпадения фаз, клещи электроизмерительные, устройства для прокола кабеля и т.п.), специальные средства защиты, устройства и приспособления изолирующие для работ под напряжением в электроустановках напряжением 110 кВ и выше (кроме штанг для переноса и выравнивания потенциала)"
Какова максимальная длина (мм) неизолированной части электрода-наконечника установлена для указателей напряжения до 1000В?,7 мм;
Какое минимальное сечение проводов переносных заземлений установлено в электроустановках напряжением выше 1000 В?,не менее 25 кв. мм
Какие минимальные размеры установлены для ковров резиновых диэлектрических?,"Толщина 6 +/- 1 мм, длина от 500 до 8000 мм и ширина от 500 до 1200 мм."
"Для каких средств защиты при испытаниях нормируются токи, протекающие через них?","Нормируются токи, протекающие через изоляцию электрозащитных средств из резины и эластичных полимерных материалов","Нормируются токи, протекающие через изоляцию изолирующих устройств для работ под напряжением","Нормируются рабочие токи, протекающие через указатели напряжения до 1000 В;"
"Какая высота (мм) кольца (упора) установлена для изолирующей части электрозащитных средств (кроме изолирующего инструмента), используемых в электроустановках напряжением до 1000В?",не менее 3 мм;
"Какая установлена периодичность осмотра состояния средств защиты, используемых в электроустановках?",не реже 1 раза в 6 мес. (для переносных заземлений - не реже 1 раза в 3 мес.)
Как должна быть ограничена изолирующая часть электрозащитных средств от рабочей части?,"Изолирующая часть электрозащитных средств, содержащих диэлектрические штанги или рукоятки, должна ограничиваться кольцом или упором из электроизоляционного материала со стороны рукоятки;"
К пожару класса (Е) относятся,"пожары, связанные с горением электроустановок"
При эксплуатации действующих электроустановок запрещается,размещать у электрощитов горючие вещества и материалы,использовать самодельные электронагревательные приборы,"пользоваться повреждёнными розетками, рубильниками и другими электроустановочными изделиями",применять некалиброванные плавкие вставки,эксплуатировать светильники со снятыми рассеивателями,эксплуатировать кабели с повреждённой изоляцией,использовать неисправные приёмники электроэнергии
Работники организаций должны,сообщать о пожаре в подразделение пожарной охраны,соблюдать на производстве требования пожарной безопасности,выполнять меры предосторожности при проведении работ с горючими жидкостями и опасными в пожарном отношении веществами и оборудованием,соблюдать и поддерживать противопожарный режим,"принимать возможные меры к спасению людей, имущества и ликвидации пожара"
В документе предприятия по противопожарному режиму должны быть определены,оборудованные места для курения,порядок и сроки занятий по пожарно-техническому минимуму,порядок обесточивания электрооборудования при окончании рабочего дня,порядок и сроки прохождения противопожарного инструктажа,действия работников при обнаружении пожара,порядок хранения спецодежды,порядок обесточивания электрооборудования при пожаре
Потребное количество огнетушителей на объекте определяется,огнетушащей способностью огнетушителя,предельной площадью тушения,классом пожара,площадью производственного объекта
Какие требования предъявляются к ящикам для песка?,защищённость от осадков,конструкция должна обеспечивать удобство извлечения песка,"объём не менее 0,5 м.куб."
К пожару класса А относятся,пожары твердых веществ органического происхождения
К пожару класса В относятся,пожары горючих жидкостей или плавящихся твердых веществ
Пожары в электроустановках до 1000 В тушатся при помощи,порошковых огнетушителей,углекислотных огнетушителей
"Какие действия из нижеперечисленных, запрещается выполнять в зданиях и сооружениях организаций","загромождение мебелью, оборудованием и другими предметами дверей, переходы и выходы на эвакуационные лестницы","использование чердаков, венткамер и технических помещений для организации мастерских, а также хранения оборудования, мебели и других предметов","проведение уборки помещений с применением керосина, бензина и других ЛВЖ",отогревание замёрзших труб паяльными лампами и другими способами с применением открытого огня,"размещение складов горючих материаловв подвалах и цокольных этажах, если вход в них не изолирован от общих лестничных клеток"
Укажите последовательность действий при использовании порошковых огнетушителей,?,?,?,?
ТО автоматических установок пожарной сигнализации и пожаротушения выполняется,"по договору специализированной организацией, имеющей лицензию",специально обученным обслуживающим персоналом
"Выберите вопросы, которые должны отражаться в инструкциях о мерах пожарной безопасности",определение мест для применения открытого огня,правила аварийной остановки оборудования,порядок содержания территорий и зданий,порядок эвакуации материальных средств,определение мест для курения,правила применения средств пожаротушения,мероприятия по обеспечению пожарной безопасности при эксплуатации оборудования,правила вызова пожарной охраны
Ящики с песком устанавливаются в помещениях,с горючими жидкостями,где возможен розлив легковоспламеняющихся жидкостей
В каком случае вместо переносного огнетушителя может использоваться самосрабатывающий порошковый?,в замкнутом помещении объёмом до 50 куб.
Расстояние от возможного очага пожара до места размещения огнетушителя должно составлять,не более 20 м в общественных зданиях,"не более 30 м в помещениях категории А, Б и В"
Укажите последовательность действий при использовании углекислотных огнетушителей,?,?,?
"Установки пожаротушения подлежат дозарядке или перезарядке, если",масса огнетушащего вещества меньше нормы на 10% и более
Разведение открытого огня (костров) и сжигание отходов около зданий производится не ближе,50 метров
"Бочки для воды, устанавливаемые у пожарных щитов, имеют объём","не менее 0,2 м.куб."
Какие требования предъявляются к количеству заградительных огней?,"количество и расположение заградительных огней должно быть таким, чтобы с любого направления в горизонтальной плоскости было видно не менее двух огней","на объектах большой протяжённости количество и размещение огней должно быть таковым, чтобы можно было определить общие очертания объекта и его протяженность"
"Какова должна быть сила света огней светоограждения объектов, расположенных вне зоны аэродрома?","сила света должна быть такой, чтобы они были заметны, учитывая интенсивность соседних огней и общую яркость фона, но не менее 10 кд в любом направлении"
Какими цветами производится дневная маркировка объектов?,красным,оранжевым,белым
Каким образом выполняется светоограждение протяжённых антенн?,заградительные огни должны устанавливаться на мачтах (опорах) независимо от расстояния между ними
В чём заключается принцип затенения при маркировке объектов?,"в возможности не маркировать объекты, затенённые более высокими маркированными неподвижными объектами"
Какими должны быть заградительные огни низкой интенсивности на неподвижных объектах?,огнями постоянного излучения красного цвета
На каких объектах допускается отсутствие светоограждения?,на памятниках и культовых сооружениях,"на объектах, затененных более высоким неподвижным объектом, имеющим светоограждение"
Какие объекты подлежат дневной маркировке?,"все объекты, расположенные в пределах от границы спланированной части до границы летной полосы","препятствия в виде зданий и сооружений, выступающие за установленные переходные поверхности, внутреннюю горизонтальную поверхность, поверхность взлета и захода на посадку в пределах 4000 м от нижних границ"
"Какие требования предъявляются к заградогням объектов, находящихся в створе ВПП?",огни должны быть сдвоенной конструкции,огни должны быть с силой света не менее 30 кд,интервал между огнями должен быть не менее 3 м,"должны быть размещены на линии, перпендикулярной оси ВПП"
Каким образом окрашиваются объекты с практически сплошными поверхностями?,"чередующимися полосами по 0,5 … 3 м перпендикулярно большему измерению, если стороны объекта имеют размеры в пределах от 1,5 до 4,5 м","одним цветом (красным) при ширине и высоте объекта менее 1,5 м","в шахматном порядке прямоугольниками или квадратами со стороной 1,5 …3 м, если обе из поверхностей в вертикальном или горизонтальном измерении равны или превышают 4,5 м"
В каких случаях составляется карта контрольных режимов и таблица настройки на каждое средство РТОП и АЭС?,при вводе в эксплуатацию после технической проверки и выполнения летной проверки
Какова периодичность проверки резервных дизель-электростанций?,не реже одного раза в месяц продолжительностью не менее 20 мин под номинальной  нагрузкой
"Для обеспечения управления воздушным движением в районе аэродрома, подхода могут быть организованы следующие радиосети и радиоканалы:",круга,подхода,руления,старта,единая командно-стартовая,посадки,аварийно-спасательная
В целях обеспечения деятельности органов и центров (пунктов) ОВД и деятельности служб аэропортов разрабатывается:,схема внутриаэропортовой радиосвязи
Антенну БПРМ рекомендуется размещать на расстоянии:,на продолжении осевой линии ВПП не более  15 м от нее,850-1200 м от порога ВПП
 Что относится к средствам электротехнического обеспечения полетов?,системы кондиционирования воздуха,источники (агрегаты) бесперебойного питания,"линии электропередач, трансформаторные подстанции",дизельные электростанции,химические источники питания,автономные ветроэнергетические и солнечные энергетические комплексы
Какие мероприятия включает в себя техническая эксплуатация объектов и средств РТОП и АЭС?,мероприятия по вводу в эксплуатацию и выводу из эксплуатации,мероприятия по метрологическому обеспечению ТО и ремонта,мероприятия по охране труда и пожарной безопасности,мероприятия по материально-техническому обеспечению,мероприятия по проведению летных проверок,мероприятия по подготовке и повышению квалификации ИТП,мероприятия по продлению срока службы (ресурса),мероприятия по техническому обслуживанию,10. мероприятия по проведению ремонта
РМС-I обеспечивает информацией при заходе ВС на посадку от: ,"границы зоны действия РМС до высоты принятия решения, соответствующей 60 м над горизонтальной плоскостью, проходящей через порог ВПП"
С какой целью проводятся лётные проверки средств РТОП и АЭС?,для оценки пригодности средств РТОП и АЭС для обеспечения полетов,для определения соответствия технических и тактических характеристик средств РТОП и АЭС требованиям эксплуатационной документации
"Для какой связи используется частота 123,1 МГц?","для связи между ВС и наземными службами, занятыми поисково-спасательными работами","для связи между ВС, занятыми поисково-спасательными работами"
С какими средствами РТОП сопрягается система управления и контроля за наземным движением?,АС УВД,системой единого времени,МПСН-А,РЛС ОЛП,ОРЛ-А
Укажите срок обязательного хранения съемных магнитных носителей с задокументированной информацией,не менее 14 суток
Допускается  ли размещение ДМРМ (ДПРС) и БМРМ (БПРС) с отступлением от Правил?,"допускается, с учетом соблюдения требований по ограничению высотных препятствий на летной полосе","допускается, с введением компенсирующих мер, обеспечивающих эквивалентный уровень безопасности полетов и оформлением заключения, подтверждающего обеспечение эквивалентного уровня безопасности полетов"
Действия сменного инженера службы ЭРТОС при нарушении работоспособности объекта РТОП и связи,информирует руководителя полетов о случившемся принимает меры к восстановлению работоспособности объекта по согласованию с руководителем полетов,фиксирует свои действия в журнале
В каком документе фиксируются результаты контроля состояния и технической эксплуатации объектов РТОП и связи?,в оперативном журнале сменного инженера (техника) объекта
В чём заключается принцип  затенения при маркировке объектов?,"в возможности не маркировать объекты, затенённые более высокими маркированными неподвижными объектами"
